id,name,name_en,province_id,tier_id
347,阿勒泰地区,ALeTaiDiQu,30,5
348,石河子市,ShiHeZiShi,30,5
349,阿拉尔市,ALaErShi,30,7
350,图木舒克市,TuMuShuKeShi,30,7
351,五家渠市,WuJiaQuShi,30,7
352,北屯市,BeiTunShi,30,7
353,铁门关市,TieMenGuanShi,30,7
354,双河市,ShuangHeShi,30,7
355,可克达拉市,KeKeDaLaShi,30,7
356,昆玉市,KunYuShi,30,7
357,呼和浩特市,HuHeHaoTeShi,31,2
358,包头市,BaoTouShi,31,3
359,乌海市,WuHaiShi,31,5
360,赤峰市,ChiFengShi,31,4
361,通辽市,TongLiaoShi,31,4
362,鄂尔多斯市,EErDuoSiShi,31,4
363,呼伦贝尔市,HuLunBeiErShi,31,4
364,巴彦淖尔市,BaYanNaoErShi,31,5
365,乌兰察布市,WuLanChaBuShi,31,5
366,兴安盟,XingAnMeng,31,5
367,锡林郭勒盟,XiLinGuoLeMeng,31,5
368,阿拉善盟,ALaShanMeng,31,5
369,台湾,TaiWan,32,2
